kind,.pred_AI,.pred_class,is_correct,detector,native,name,model,document_id,prompt
AI,0.018474815,Human,No,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,409,Plain
AI,0.996584177,AI,Yes,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,83,Simplify like non-native
AI,0.999181688,AI,Yes,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,634,Plain
AI,0.000172308,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,496,Elevate using technical
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,504,Elevate using technical
AI,0.998212576,AI,Yes,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,169,Simplify like non-native
Human,0.999987736,AI,No,Sapling,No,Real TOEFL,Human,263,NA
Human,0.000230141,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,812,NA
AI,0.625,AI,Yes,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,291,Enhance like native
AI,1.68E-06,Human,No,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,167,Simplify like non-native
AI,0.98973608,AI,Yes,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,730,Plain
Human,0.000962235,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,747,NA
Human,0.000245379,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,859,NA
AI,0.000270185,Human,No,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,74,Elevate using literary
Human,0.002138698,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,842,NA
AI,0.005078466,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,709,Elevate using technical
Human,0.997296815,AI,No,Sapling,No,Real TOEFL,Human,338,NA
Human,0.003690822,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,824,NA
AI,0.972424328,AI,Yes,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,572,Plain
Human,0.139662849,Human,Yes,OriginalityAI,Yes,Real College Essays,Human,93,NA
AI,0.714545228,AI,Yes,GPTZero,NA,Fake CS224N - GPT3,GPT3,515,Plain
Human,0.975743711,AI,No,OriginalityAI,No,Real TOEFL,Human,275,NA
AI,1,AI,Yes,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,71,Plain
AI,0.957692087,AI,Yes,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,120,Simplify like non-native
Human,0,Human,Yes,ZeroGPT,Yes,US 8th grade essay,Human,237,NA
Human,0.910342225,AI,No,GPTZero,No,Real TOEFL,Human,899,NA
AI,0.00023696,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,207,Enhance like native
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,757,NA
Human,3.45E-14,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,142,NA
AI,1.13E-06,Human,No,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,96,Simplify like non-native
Human,0.000187654,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,806,NA
AI,5.25E-07,Human,No,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,261,Enhance like native
AI,0.918775114,AI,Yes,GPTZero,NA,Fake College Essays - GPT3,GPT3,284,Plain
AI,0.125,Human,No,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,404,Enhance like native
Human,0.000255029,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,879,NA
Human,0.435538935,Human,Yes,GPTZero,No,Real TOEFL,Human,398,NA
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,690,Elevate using technical
AI,0.93957895,AI,Yes,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,694,Elevate using technical
Human,0.000168073,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,745,NA
AI,0.003556378,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,578,Elevate using technical
Human,0.276667655,Human,Yes,Crossplag,No,Real TOEFL,Human,400,NA
Human,0.00017024,Human,Yes,Crossplag,Yes,Real College Essays,Human,549,NA
Human,0.0351,Human,Yes,OriginalityAI,Yes,US 8th grade essay,Human,132,NA
AI,0.078920931,Human,No,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,136,Simplify like non-native
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,11,Plain
Human,0.000168055,Human,Yes,Crossplag,Yes,Real College Essays,Human,45,NA
AI,0.000225077,Human,No,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,61,Elevate using literary
Human,0.000179294,Human,Yes,Crossplag,Yes,Real CS224N,Human,868,NA
AI,0.000100059,Human,No,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,393,Simplify like non-native
AI,0.000994503,Human,No,Quil,NA,Fake College Essays - GPT3,GPT3,284,Plain
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,485,NA
AI,0.242406394,Human,No,Sapling,NA,Fake College Essays - GPT3,GPT3,531,Plain
AI,0.497991711,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,457,Enhance like native
AI,0.000656477,Human,No,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,434,Elevate using technical
Human,0.99998065,AI,No,Sapling,No,Real TOEFL,Human,884,NA
AI,0.001453324,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,616,Elevate using technical
AI,0.000170231,Human,No,Quil,NA,US 8th grade essay - GPT simplify,GPT4,411,Simplify like non-native
Human,1.47E-05,Human,Yes,GPTZero,Yes,Real CS224N,Human,845,NA
Human,0.875,AI,No,ZeroGPT,No,Real TOEFL,Human,467,NA
Human,0.00016984,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,104,NA
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,695,Elevate using technical
AI,0.000572751,Human,No,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,454,Enhance like native
AI,0.000176847,Human,No,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,340,Enhance like native
Human,2.12E-06,Human,Yes,GPTZero,Yes,Real CS224N,Human,794,NA
Human,5.03E-05,Human,Yes,Sapling,No,Real TOEFL,Human,450,NA
AI,0,Human,No,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,168,Simplify like non-native
Human,3.10E-29,Human,Yes,GPTZero,Yes,Real College Essays,Human,47,NA
AI,1,AI,Yes,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,701,Plain
Human,0.825477707,AI,No,GPTZero,No,Real TOEFL,Human,342,NA
AI,0.026465798,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,282,Enhance like native
Human,0.0054232,Human,Yes,HFOpenAI,No,Real TOEFL,Human,460,NA
Human,4.19E-08,Human,Yes,GPTZero,Yes,Real CS224N,Human,851,NA
Human,0.691432834,AI,No,Crossplag,Yes,US 8th grade essay,Human,89,NA
Human,0.385477602,Human,Yes,Crossplag,Yes,Real CS224N,Human,779,NA
AI,0.285409302,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,637,Plain
Human,0.000225723,Human,Yes,Quil,Yes,Real College Essays,Human,473,NA
AI,0.000173611,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,725,Elevate using technical
AI,0.006801409,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,638,Plain
AI,0.918775114,AI,Yes,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,449,Simplify like non-native
AI,0.000180046,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,705,Elevate using technical
Human,3.68E-14,Human,Yes,GPTZero,Yes,Real College Essays,Human,337,NA
AI,0.995001319,AI,Yes,Sapling,NA,Fake College Essays - GPT3,GPT3,72,Plain
Human,0.003969834,Human,Yes,OriginalityAI,Yes,Real College Essays,Human,909,NA
AI,0.000197232,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,714,Elevate using technical
AI,0.361435294,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,521,Plain
AI,1.47E-05,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,689,Plain
AI,0.979857743,AI,Yes,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,230,Simplify like non-native
AI,0.951194357,AI,Yes,GPTZero,NA,Fake College Essays - GPT3,GPT3,731,Plain
Human,1.07E-10,Human,Yes,GPTZero,Yes,Real CS224N,Human,789,NA
AI,4.85E-07,Human,No,Sapling,NA,Fake CS224N - GPT3,GPT3,27,Plain
Human,0.973846972,AI,No,OriginalityAI,No,Real TOEFL,Human,329,NA
Human,0.995539575,AI,No,Sapling,No,Real TOEFL,Human,495,NA
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,22,Plain
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,58,Plain
AI,0.000349807,Human,No,Crossplag,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,4,Elevate using literary
AI,1,AI,Yes,ZeroGPT,NA,Fake College Essays - GPT3,GPT3,65,Plain
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,35,Plain
Human,0.000183833,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,119,NA
Human,3.00E-04,Human,Yes,OriginalityAI,Yes,US 8th grade essay,Human,94,NA
AI,0.000721972,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,239,Enhance like native
Human,0.991782784,AI,No,Crossplag,No,Real TOEFL,Human,310,NA
Human,0.002832367,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,878,NA
Human,0.000168816,Human,Yes,Crossplag,Yes,Real CS224N,Human,874,NA
AI,0.005261621,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,623,Elevate using technical
AI,0.01396806,Human,No,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,912,Enhance like native
Human,0.999821484,AI,No,Quil,No,Real TOEFL,Human,356,NA
AI,0.9999,AI,Yes,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,136,Simplify like non-native
AI,0,Human,No,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,285,Enhance like native
Human,4.26E-05,Human,Yes,Sapling,Yes,US 8th grade essay,Human,173,NA
Human,0.128327638,Human,Yes,Crossplag,Yes,Real CS224N,Human,833,NA
Human,0.999819458,AI,No,Quil,No,Real TOEFL,Human,249,NA
AI,0.000650585,Human,No,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,245,Enhance like native
AI,0.000224839,Human,No,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,895,Enhance like native
Human,0.000207203,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,786,NA
AI,0.999999549,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,8,Plain
Human,0.25,Human,Yes,ZeroGPT,No,Real TOEFL,Human,490,NA
AI,6.29E-07,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,728,Elevate using technical
AI,0.000231401,Human,No,HFOpenAI,NA,Fake TOEFL - GPT4 - PE,GPT4,288,Enhance like native
AI,0.999128559,AI,Yes,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,399,Simplify like non-native
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,860,NA
AI,0.00019621,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,516,Elevate using technical
AI,0.999988801,AI,Yes,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,251,Simplify like non-native
AI,5.82E-06,Human,No,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,118,Simplify like non-native
Human,0.000708442,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,736,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,755,NA
Human,0.007928409,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,872,NA
Human,0.000175191,Human,Yes,Crossplag,Yes,Real College Essays,Human,337,NA
AI,0.999521494,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,510,Plain
AI,0.00029213,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,508,Plain
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,365,NA
AI,0.903388977,AI,Yes,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,501,Elevate using technical
AI,0.002525762,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,29,Plain
AI,0.989165843,AI,Yes,Quil,NA,US 8th grade essay - GPT simplify,GPT4,53,Simplify like non-native
AI,0.222196102,Human,No,Quil,NA,Fake CS224N - GPT3,GPT3,708,Plain
Human,0.939016879,AI,No,Crossplag,No,Real TOEFL,Human,430,NA
Human,9.72E-07,Human,Yes,Sapling,Yes,Real College Essays,Human,294,NA
AI,0.999985123,AI,Yes,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,513,Elevate using technical
AI,0.999474585,AI,Yes,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,87,Simplify like non-native
Human,1.32E-28,Human,Yes,GPTZero,Yes,Real College Essays,Human,314,NA
AI,0.999990504,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,515,Plain
Human,0.000172388,Human,Yes,Crossplag,Yes,Real CS224N,Human,768,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,290,NA
AI,0.013324723,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,518,Elevate using technical
Human,0.000619157,Human,Yes,HFOpenAI,Yes,Real College Essays,Human,424,NA
AI,0.004052305,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,31,Plain
AI,0.032241523,Human,No,Quil,NA,Fake TOEFL - GPT4 - PE,GPT4,282,Enhance like native
AI,0.000189938,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,502,Elevate using technical
Human,0.000170319,Human,Yes,HFOpenAI,Yes,Real College Essays,Human,269,NA
AI,0.000117404,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,719,Elevate using technical
Human,0.0062,Human,Yes,OriginalityAI,Yes,US 8th grade essay,Human,173,NA
Human,0.000419319,Human,Yes,Quil,Yes,Real College Essays,Human,915,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,736,NA
AI,0.000100059,Human,No,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,557,Elevate using technical
AI,0.999999095,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,687,Plain
AI,0.006283932,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,384,Plain
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,389,NA
AI,0.555362165,AI,Yes,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,728,Elevate using technical
Human,0.000204861,Human,Yes,Quil,Yes,Real College Essays,Human,729,NA
Human,0.000230237,Human,Yes,HFOpenAI,Yes,Real College Essays,Human,407,NA
Human,0,Human,Yes,ZeroGPT,Yes,US 8th grade essay,Human,89,NA
Human,0.002164123,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,835,NA
AI,5.92E-05,Human,No,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,201,Elevate using literary
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,864,NA
AI,0.977254927,AI,Yes,OriginalityAI,NA,Fake TOEFL - GPT4 - PE,GPT4,341,Enhance like native
Human,8.10E-07,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,101,NA
AI,0.000159767,Human,No,Sapling,NA,US 8th grade essay - GPT simplify,GPT4,168,Simplify like non-native
AI,0.000168153,Human,No,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,118,Simplify like non-native
AI,0.000204742,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,576,Plain
AI,0.914472222,AI,Yes,Crossplag,NA,Fake CS224N - GPT3,GPT3,687,Plain
Human,0.000144421,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,805,NA
AI,0.000260292,Human,No,Crossplag,NA,Fake TOEFL - GPT4 - PE,GPT4,244,Enhance like native
AI,0.068248175,Human,No,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,220,Plain
AI,0.9999,AI,Yes,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,103,Simplify like non-native
Human,0.625,AI,No,ZeroGPT,No,Real TOEFL,Human,545,NA
Human,0.000173373,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,742,NA
AI,0.001862897,Human,No,OriginalityAI,NA,Fake College Essays - GPT3,GPT3,211,Plain
Human,0.000167366,Human,Yes,Crossplag,Yes,Real CS224N,Human,745,NA
AI,1.47E-05,Human,No,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,702,Elevate using technical
Human,0,Human,Yes,ZeroGPT,Yes,US 8th grade essay,Human,130,NA
Human,0.25,Human,Yes,ZeroGPT,No,Real TOEFL,Human,302,NA
Human,0.000111578,Human,Yes,Sapling,Yes,Real College Essays,Human,289,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,446,NA
Human,0.10644757,Human,Yes,Crossplag,No,Real TOEFL,Human,542,NA
AI,0.000100059,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,476,Enhance like native
Human,0.97077626,AI,No,OriginalityAI,No,Real TOEFL,Human,350,NA
Human,0.999822319,AI,No,Quil,No,Real TOEFL,Human,242,NA
Human,0.125,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,486,NA
AI,0.999243259,AI,Yes,Quil,NA,US 8th grade essay - GPT simplify,GPT4,163,Simplify like non-native
AI,0.000721095,Human,No,Crossplag,NA,US 8th grade essay - GPT simplify,GPT4,235,Simplify like non-native
AI,0.000393598,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,598,Elevate using technical
AI,0.000504971,Human,No,Quil,NA,US 8th grade essay - GPT simplify,GPT4,154,Simplify like non-native
AI,1.47E-05,Human,No,GPTZero,NA,"Fake CS224N - GPT3, PE",GPT4,669,Elevate using technical
Human,0.090107791,Human,Yes,GPTZero,Yes,Real College Essays,Human,243,NA
AI,0.566129506,AI,Yes,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,722,Elevate using technical
Human,4.64E-33,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,885,NA
Human,0.061393857,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,122,NA
Human,0.000194132,Human,Yes,Quil,Yes,Real College Essays,Human,446,NA
AI,0.008727879,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,700,Plain
AI,0.000185549,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,725,Elevate using technical
Human,2.36E-05,Human,Yes,Sapling,No,Real TOEFL,Human,542,NA
AI,1.47E-05,Human,No,GPTZero,NA,Fake CS224N - GPT3,GPT3,663,Plain
AI,0.975212157,AI,Yes,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,619,Plain
AI,0.010152331,Human,No,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,81,Simplify like non-native
Human,0.000629187,Human,Yes,HFOpenAI,Yes,Real College Essays,Human,926,NA
AI,0.999798715,AI,Yes,Crossplag,NA,Fake College Essays - GPT3,GPT3,487,Plain
AI,0.016374262,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,656,Plain
AI,6.46E-07,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,561,Elevate using technical
Human,0.910186291,AI,No,Crossplag,No,Real TOEFL,Human,320,NA
AI,0.000966162,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,23,Plain
Human,1.00E-04,Human,Yes,OriginalityAI,Yes,US 8th grade essay,Human,157,NA
AI,0.000460354,Human,No,HFOpenAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,202,Elevate using literary
AI,1.82E-06,Human,No,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,303,Enhance like native
Human,8.09E-07,Human,Yes,Sapling,Yes,Real College Essays,Human,48,NA
Human,0.257655472,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,854,NA
Human,0.001235824,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,769,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real CS224N,Human,795,NA
AI,0.000100059,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,266,Enhance like native
Human,0.001246038,Human,Yes,HFOpenAI,Yes,Real CS224N,Human,867,NA
Human,0.710715294,AI,No,Quil,No,Real TOEFL,Human,217,NA
AI,1.47E-05,Human,No,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,489,Enhance like native
AI,0.0118228,Human,No,OriginalityAI,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,203,Elevate using literary
AI,0.375,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,662,Plain
AI,0.000326256,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,498,Elevate using technical
AI,0.998723447,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,633,Plain
AI,0.004783034,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,696,Elevate using technical
AI,0.000171316,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,557,Elevate using technical
Human,0.124725081,Human,Yes,HFOpenAI,No,Real TOEFL,Human,884,NA
AI,0.197633266,Human,No,Quil,NA,Fake CS224N - GPT3,GPT3,632,Plain
Human,0.000173783,Human,Yes,Crossplag,Yes,Real College Essays,Human,417,NA
AI,0.9995,AI,Yes,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,236,Simplify like non-native
AI,0.962058745,AI,Yes,GPTZero,NA,Fake College Essays - GPT3,GPT3,221,Plain
Human,0.00919497,Human,Yes,Quil,Yes,US 8th grade essay,Human,188,NA
Human,0,Human,Yes,ZeroGPT,Yes,Real College Essays,Human,915,NA
AI,0.896884203,AI,Yes,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,519,Elevate using technical
Human,0.000178335,Human,Yes,Crossplag,Yes,Real College Essays,Human,50,NA
Human,0.000249553,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,147,NA
AI,0.779033244,AI,Yes,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,602,Elevate using technical
AI,0.000249567,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,692,Plain
Human,0.017021429,Human,Yes,HFOpenAI,No,Real TOEFL,Human,327,NA
Human,0.000210993,Human,Yes,Crossplag,Yes,US 8th grade essay,Human,175,NA
AI,0.000693651,Human,No,Crossplag,NA,Fake College Essays - GPT3,GPT3,892,Plain
Human,0.002086669,Human,Yes,Crossplag,Yes,Real CS224N,Human,775,NA
AI,4.87E-07,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,509,Elevate using technical
AI,0.530230224,AI,Yes,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,39,Plain
AI,0.00670595,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,617,Plain
Human,0.251229286,Human,Yes,Crossplag,Yes,Real CS224N,Human,766,NA
Human,8.46E-33,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,192,NA
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,560,Elevate using technical
Human,4.13E-05,Human,Yes,Sapling,No,Real TOEFL,Human,217,NA
AI,0.99928844,AI,Yes,Quil,NA,Fake CS224N - GPT3,GPT3,462,Plain
AI,7.35E-07,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,469,Elevate using technical
Human,0.00027632,Human,Yes,Crossplag,Yes,Real College Essays,Human,222,NA
AI,0.781994045,AI,Yes,Quil,NA,US 8th grade essay - GPT simplify,GPT4,187,Simplify like non-native
AI,0.00017035,Human,No,Quil,NA,"Fake CS224N - GPT3, PE",GPT4,717,Elevate using technical
AI,0.00461487,Human,No,OriginalityAI,NA,"Fake CS224N - GPT3, PE",GPT4,713,Elevate using technical
AI,0.151182979,Human,No,OriginalityAI,NA,Fake CS224N - GPT3,GPT3,656,Plain
Human,0.000163521,Human,Yes,Sapling,Yes,Real College Essays,Human,432,NA
AI,0.00017315,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,552,Elevate using technical
AI,0.9433,AI,Yes,OriginalityAI,NA,US 8th grade essay - GPT simplify,GPT4,43,Simplify like non-native
Human,0.000227862,Human,Yes,HFOpenAI,Yes,US 8th grade essay,Human,130,NA
AI,0,Human,No,ZeroGPT,NA,Fake TOEFL - GPT4 - PE,GPT4,355,Enhance like native
Human,0.350132555,Human,Yes,Crossplag,No,Real TOEFL,Human,374,NA
AI,0.030850787,Human,No,HFOpenAI,NA,Fake College Essays - GPT3,GPT3,531,Plain
Human,0.999998694,AI,No,Sapling,No,Real TOEFL,Human,544,NA
AI,2.93E-06,Human,No,Sapling,NA,Fake TOEFL - GPT4 - PE,GPT4,213,Enhance like native
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,647,Plain
AI,0.691910625,AI,Yes,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,434,Elevate using technical
AI,0.000433586,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,550,Elevate using technical
AI,0.887165174,AI,Yes,GPTZero,NA,Fake TOEFL - GPT4 - PE,GPT4,922,Enhance like native
AI,0.999888449,AI,Yes,Sapling,NA,Fake College Essays - GPT3,GPT3,416,Plain
AI,0.00729215,Human,No,HFOpenAI,NA,Fake CS224N - GPT3,GPT3,567,Plain
AI,0.000213206,Human,No,Quil,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,381,Elevate using literary
AI,0.000192202,Human,No,Crossplag,NA,"Fake CS224N - GPT3, PE",GPT4,598,Elevate using technical
Human,0.999304771,AI,No,Quil,No,Real TOEFL,Human,373,NA
AI,0,Human,No,ZeroGPT,NA,Fake CS224N - GPT3,GPT3,703,Plain
AI,0.000224731,Human,No,HFOpenAI,NA,US 8th grade essay - GPT simplify,GPT4,232,Simplify like non-native
Human,0.004547614,Human,Yes,OriginalityAI,Yes,Real CS224N,Human,792,NA
AI,0.000178588,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,650,Elevate using technical
AI,5.89E-07,Human,No,Sapling,NA,"Fake CS224N - GPT3, PE",GPT4,500,Elevate using technical
AI,0,Human,No,ZeroGPT,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,5,Elevate using literary
AI,0.999999543,AI,Yes,Sapling,NA,Fake CS224N - GPT3,GPT3,651,Plain
Human,3.02E-33,Human,Yes,GPTZero,Yes,US 8th grade essay,Human,148,NA
AI,0,Human,No,ZeroGPT,NA,"Fake CS224N - GPT3, PE",GPT4,720,Elevate using technical
AI,0.75,AI,Yes,ZeroGPT,NA,US 8th grade essay - GPT simplify,GPT4,182,Simplify like non-native
AI,0.000168153,Human,No,GPTZero,NA,US 8th grade essay - GPT simplify,GPT4,83,Simplify like non-native
AI,0.000224307,Human,No,Crossplag,NA,Fake CS224N - GPT3,GPT3,20,Plain
AI,0.92747134,AI,Yes,Quil,NA,US 8th grade essay - GPT simplify,GPT4,162,Simplify like non-native
AI,0.000100059,Human,No,GPTZero,NA,Fake College Essays - GPT3 Prompt Engineered,GPT3,1,Elevate using literary
AI,0.000169316,Human,No,HFOpenAI,NA,"Fake CS224N - GPT3, PE",GPT4,516,Elevate using technical
Human,0.001525644,Human,Yes,OriginalityAI,Yes,Real College Essays,Human,438,NA
